,prev,curr,type,n
12079300,other-search,2022_russian_invasion_of_ukraine,external,328720.0
12076008,main_page,2022_russian_invasion_of_ukraine,link,229469.0
12078010,other-empty,2022_russian_invasion_of_ukraine,external,228889.0
12076652,russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,80198.0
12078552,other-internal,2022_russian_invasion_of_ukraine,external,48210.0
12078036,other-external,2022_russian_invasion_of_ukraine,external,33843.0
12078326,casualties_of_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,19005.0
12078410,ukraine,2022_russian_invasion_of_ukraine,link,17708.0
12075618,battle_of_bakhmut,2022_russian_invasion_of_ukraine,link,11904.0
12076036,bakhmut,2022_russian_invasion_of_ukraine,link,5858.0
12077868,war_in_donbas_(2014–2022),2022_russian_invasion_of_ukraine,link,5249.0
12075174,list_of_ongoing_armed_conflicts,2022_russian_invasion_of_ukraine,link,5218.0
12077986,volodymyr_zelenskyy,2022_russian_invasion_of_ukraine,link,3903.0
12079274,vladimir_putin,2022_russian_invasion_of_ukraine,link,3889.0
12076786,wagner_group,2022_russian_invasion_of_ukraine,link,3862.0
12079872,battle_of_donbas_(2022–present),2022_russian_invasion_of_ukraine,link,3804.0
12077496,russia,2022_russian_invasion_of_ukraine,link,3567.0
12075706,list_of_wars_involving_ukraine,2022_russian_invasion_of_ukraine,link,3469.0
12075796,world_war_iii,2022_russian_invasion_of_ukraine,link,2840.0
12075164,t-54/t-55,2022_russian_invasion_of_ukraine,link,2816.0
12078706,2022_kharkiv_counteroffensive,2022_russian_invasion_of_ukraine,link,2785.0
12077546,2023,2022_russian_invasion_of_ukraine,link,2576.0
12077874,siege_of_mariupol,2022_russian_invasion_of_ukraine,link,2290.0
12079792,battle_of_kyiv_(2022),2022_russian_invasion_of_ukraine,link,1842.0
12079526,2022,2022_russian_invasion_of_ukraine,link,1816.0
12075640,kyiv_offensive_(2022),2022_russian_invasion_of_ukraine,link,1697.0
12079356,t-90,2022_russian_invasion_of_ukraine,link,1687.0
12075538,"russian_annexation_of_donetsk,_kherson,_luhansk_and_zaporizhzhia_oblasts",2022_russian_invasion_of_ukraine,link,1648.0
12076594,battle_of_vuhledar,2022_russian_invasion_of_ukraine,link,1559.0
12078452,"marinka,_ukraine",2022_russian_invasion_of_ukraine,link,1537.0
12075984,mariupol,2022_russian_invasion_of_ukraine,link,1517.0
12079302,russian-occupied_territories_of_ukraine,2022_russian_invasion_of_ukraine,link,1484.0
12078402,post-soviet_conflicts,2022_russian_invasion_of_ukraine,link,1473.0
12074960,eurovision_song_contest_2023,2022_russian_invasion_of_ukraine,link,1463.0
